ID товара,Наименование,Ссылка на товар,Регулярная цена,Промо цена,Бренд
387035,"Чай Newby Pride of Africa черный листовой, 100г",https://online.metro-cc.ru/products/chernyj-newby-pride-of-africa-100g,839,,NEWBY
596351742,"Чай Herbarus травяной Спокойствие-баланс (1.8г х 24шт), 43г",https://online.metro-cc.ru/products/24shth18g-chaynyy-napitok-herbarus-spokoystviebalans,259,189,HERBARUS
495573,"Чай Richard Royal English Breakfast черный (2г x 100шт), 200г",https://online.metro-cc.ru/products/chernyj-richard-royal-english-breakfast-100x2g,369,279,RICHARD
311826792,"Чай Akbar черный яблоко-шиповник (1.5г x 100шт), 150г",https://online.metro-cc.ru/products/100h15g-chay-akbar-chyornyy-yablokoshipovnik-pak,379,249,AKBAR
539550,"RIOBA Чай Пляжный мохито черный (2г х 20шт), 40г",https://online.metro-cc.ru/products/rioba-plyazhnyj-mohito-chernyj-20-paketikov-h-2-g,254,,RIOBA
123326,"Чай Milford Peppermint мята перечная (1.5г х 20шт), 30г",https://online.metro-cc.ru/products/milford-travyanoj-myata-perechnaya-20x15g,124,,MILFORD
624002,"Напиток чайный Sonnentor Цветки липы, травяной, 35г",https://online.metro-cc.ru/products/napitok-sonnentor-cvetki-lipy-travyanoj-35-g,599,,SONNENTOR
619857,"Напиток чайный Konigin Herbarium Чабрец и душица (1.5г х 20шт), 30г",https://online.metro-cc.ru/products/20h15g-nap-konigin-herbarium-chabrec-dushica,108,,KONIGIN HERBARIUM
247878,"Чай Ahmad Tea English Breakfast черный листовой, 200г",https://online.metro-cc.ru/products/ahmad-tea-chernyj-english-breakfast-200g,409,299,AHMAD TEA
265279095,"Чай Richard Royal Strawberry & Aloe Vera (1.5г x 25шт), 38г",https://online.metro-cc.ru/products/25h15g-chay-richard-zelenyy-klubnika-aloe-paketirovannyy,125,89.9,RICHARD
596162797,"Чай зеленый Richman цитрусовый коктейль, 40г",https://online.metro-cc.ru/products/40g-chay-zelenyy-richman-tsitrusovyy-kokteyl,194,129,RICHMAN
601742823,"Чай Greenfield набор 24 вида, 167г",https://online.metro-cc.ru/products/1672g-chay-greenfield-nabor-24-vida,719,,GREENFIELD
506429,"Чай Greenfield English Edition листовой черный, 200г",https://online.metro-cc.ru/products/greenfield-chernyj-english-edition-200g,289,239,GREENFIELD
120144,"Чай Greenfield Golden Ceylon черный (2г х 25 пак), 50г",https://online.metro-cc.ru/products/greenfield-chernyj-golden-ceylon-25x2g,122,94.9,GREENFIELD
620037,"Чай Чёрный дракон молочный улун, 100г",https://online.metro-cc.ru/products/100g-chyornyj-drakon-molochnyj-ulun,239,219,ЧЁРНЫЙ ДРАКОН
